,Id,StrategyId,TradingObject,Freq
1227,DLj_DLjm@192.168.1.15@62205,Cn.Com.60B.CPA@CnCom.Id807042.B,"DLj_DLjm,DLj,DLjm",0.005
1228,DLj_DLjm@192.168.1.15@63204,Cn.Com.60B.CPA@CnCom.Id807042.S2_B,"DLj_DLjm,DLj,DLjm",0.005
1229,DLj_DLjm@192.168.1.15@64418,Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComV4L1,"DLj_DLjm,DLj,DLjm",0.143
1230,DLj_DLjm@192.168.1.16@43003,Cn.Com.U20.CPA@CnCom.Id107222.IEB,"DLj_DLjm,DLj,DLjm",0.001
1231,DLj_DLjm@192.168.1.16@60201,Cn.Com.U16.CPA@CnCom.Id107202.B,"DLj_DLjm,DLj,DLjm",0.001
1232,DLj_DLjm@192.168.1.16@63704,Cn.Com.U16.CPA@CnCom.Id107233.D_B,"DLj_DLjm,DLj,DLjm",0.001
1233,DLj_DLjm@192.168.1.17@25016,China.Commodities.Id107206.CB,"DLj_DLjm,DLj,DLjm",0.001
1234,DLj_DLjm@192.168.1.17@26013,China.Commodities.Id107206.MA,"DLj_DLjm,DLj,DLjm",0.0
1235,DLj_DLjm@192.168.1.17@27013,China.Commodities.Id107206.MB,"DLj_DLjm,DLj,DLjm",0.0
1236,DLj_DLjm@192.168.1.17@29021,China.Commodities.Id107206.PB,"DLj_DLjm,DLj,DLjm",0.0
1237,DLj_DLjm@192.168.1.17@30020,China.Commodities.Id107206.PA,"DLj_DLjm,DLj,DLjm",
1238,DLj_DLjm@192.168.1.17@42005,Cn.Com.60B.CPA@CnCom.Id107217.B,"DLj_DLjm,DLj,DLjm",0.001
1239,DLj_DLjm@192.168.1.17@51414,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BC,"DLj_DLjm,DLj,DLjm",0.001
1240,DLj_DLjm@192.168.1.17@51507,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BM,"DLj_DLjm,DLj,DLjm",0.0
1241,DLj_DLjm@192.168.1.17@51609,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BP,"DLj_DLjm,DLj,DLjm",0.0
1242,DLj_DLjm@192.168.1.17@54201,Cn.Com.U16.CPA@CnCom.Id107201.B,"DLj_DLjm,DLj,DLjm",0.0
1243,DLj_DLjm@192.168.1.18@24021,China.Cpa.929_80,"DLj_DLjm,DLj,DLjm",0.002
1244,DLj_DLjm@192.168.1.18@34006,Cn.All.60B.PairX(MFA)@CnCom.PairEx.MFA807025,"DLj_DLjm,DLj,DLjm",0.116
1245,DLj_DLjm@192.168.1.30@25211,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_B,"DLj_DLjm,DLj,DLjm",0.011
1246,DLj_DLjm@192.168.1.30@26211,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_B,"DLj_DLjm,DLj,DLjm",0.011
1247,DLj_DLjm@192.168.1.33@33205,Cn.Com.U24.CPA@CnCom.Id107215.PV_B,"DLj_DLjm,DLj,DLjm",0.0
1248,DLj_DLjm@192.168.1.51@15205,Cn.Com.U25.CPA@CnCom.Id107215.CIP_B,"DLj_DLjm,DLj,DLjm",0.0
1249,DLj_DLjm@192.168.1.51@28005,Cn.Com.60B.CPA@CnCom.Id107001.7929B,"DLj_DLjm,DLj,DLjm",0.001
1250,DLj_DLjm@192.168.1.53@20317,Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6_All_L1,"DLj_DLjm,DLj,DLjm",0.091
1251,DLj_DLjm@192.168.1.53@21105,Cn.All.60B.PairX(MFA)@CnCom.Id807038.Adv_All_V6,"DLj_DLjm,DLj,DLjm",0.031
1252,DLj_DLjm@192.168.1.53@30006,China.Commodities.Id107203,"DLj_DLjm,DLj,DLjm",0.001
1253,DLj_DLjm@192.168.1.53@35204,Cn.All.60B.PairX(MFA)@Cn.Id807035.All_BN,"DLj_DLjm,DLj,DLjm",0.006
1254,DLj_DLjm@192.168.1.53@36605,Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComS3L1,"DLj_DLjm,DLj,DLjm",0.128
1255,DLj_DLjm@192.168.1.53@36606,Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComS3L1,"DLj_DLjm,DLj,DLjm",0.057
1256,DLj_DLjm@192.168.1.61@31013,Cn.All.60B.PairX(MFA)@CnCom.Id807045.V6E0_All_L1,"DLj_DLjm,DLj,DLjm",0.07
1257,DLj_DLl@192.168.1.12@26031,China.Commodities.Id107206.CA,"DLj_DLl,DLj,DLl",0.0
1258,DLj_DLl@192.168.1.17@25017,China.Commodities.Id107206.CB,"DLj_DLl,DLj,DLl",0.0
1259,DLj_DLl@192.168.1.17@26014,China.Commodities.Id107206.MA,"DLj_DLl,DLj,DLl",0.0
1260,DLj_DLl@192.168.1.17@29022,China.Commodities.Id107206.PB,"DLj_DLl,DLj,DLl",0.0
1261,DLj_DLl@192.168.1.17@30021,China.Commodities.Id107206.PA,"DLj_DLl,DLj,DLl",
1262,DLj_DLl@192.168.1.18@24022,China.Cpa.929_80,"DLj_DLl,DLj,DLl",0.002
1263,DLj_DLl@192.168.1.53@31013,China.Commodities.Id107204,"DLj_DLl,DLj,DLl",0.0
1264,DLj_DLpp@192.168.1.12@26032,China.Commodities.Id107206.CA,"DLj_DLpp,DLj,DLpp",0.0
1265,DLj_DLpp@192.168.1.17@25018,China.Commodities.Id107206.CB,"DLj_DLpp,DLj,DLpp",0.001
1266,DLj_DLpp@192.168.1.17@26015,China.Commodities.Id107206.MA,"DLj_DLpp,DLj,DLpp",0.0
1267,DLj_DLpp@192.168.1.17@27014,China.Commodities.Id107206.MB,"DLj_DLpp,DLj,DLpp",0.0
1268,DLj_DLpp@192.168.1.17@29023,China.Commodities.Id107206.PB,"DLj_DLpp,DLj,DLpp",0.0
1269,DLj_DLpp@192.168.1.17@30022,China.Commodities.Id107206.PA,"DLj_DLpp,DLj,DLpp",
1270,DLj_DLpp@192.168.1.18@24023,China.Cpa.929_80,"DLj_DLpp,DLj,DLpp",0.003
1271,DLj_SQag@192.168.1.12@26033,China.Commodities.Id107206.CA,"DLj_SQag,DLj,SQag",0.0
1272,DLj_SQag@192.168.1.12@34133,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQag,DLj,SQag",0.002
1273,DLj_SQag@192.168.1.17@25019,China.Commodities.Id107206.CB,"DLj_SQag,DLj,SQag",0.0
1274,DLj_SQag@192.168.1.17@26016,China.Commodities.Id107206.MA,"DLj_SQag,DLj,SQag",0.0
1275,DLj_SQag@192.168.1.17@27015,China.Commodities.Id107206.MB,"DLj_SQag,DLj,SQag",0.0
1276,DLj_SQag@192.168.1.17@29024,China.Commodities.Id107206.PB,"DLj_SQag,DLj,SQag",0.0
1277,DLj_SQag@192.168.1.17@30023,China.Commodities.Id107206.PA,"DLj_SQag,DLj,SQag",
1278,DLj_SQag@192.168.1.18@24024,China.Cpa.929_80,"DLj_SQag,DLj,SQag",0.001
1279,DLj_SQag@192.168.1.53@29023,China.Commodities.Id107202,"DLj_SQag,DLj,SQag",0.0
1280,DLj_SQag@192.168.1.53@31014,China.Commodities.Id107204,"DLj_SQag,DLj,SQag",0.001
1281,DLj_SQal@192.168.1.12@34134,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQal,DLj,SQal",0.003
1282,DLj_SQau2@192.168.1.12@26034,China.Commodities.Id107206.CA,"DLj_SQau2,DLj,SQau2",0.0
1283,DLj_SQau2@192.168.1.12@34135,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQau2,DLj,SQau2",0.003
1284,DLj_SQau2@192.168.1.17@25020,China.Commodities.Id107206.CB,"DLj_SQau2,DLj,SQau2",0.0
1285,DLj_SQau2@192.168.1.17@26017,China.Commodities.Id107206.MA,"DLj_SQau2,DLj,SQau2",0.0
1286,DLj_SQau2@192.168.1.17@27016,China.Commodities.Id107206.MB,"DLj_SQau2,DLj,SQau2",0.0
1287,DLj_SQau2@192.168.1.17@29025,China.Commodities.Id107206.PB,"DLj_SQau2,DLj,SQau2",0.0
1288,DLj_SQau2@192.168.1.17@30024,China.Commodities.Id107206.PA,"DLj_SQau2,DLj,SQau2",
1289,DLj_SQau2@192.168.1.18@24025,China.Cpa.929_80,"DLj_SQau2,DLj,SQau2",0.002
1290,DLj_SQau2@192.168.1.53@29024,China.Commodities.Id107202,"DLj_SQau2,DLj,SQau2",0.0
1291,DLj_SQau2@192.168.1.53@31015,China.Commodities.Id107204,"DLj_SQau2,DLj,SQau2",0.001
1292,DLj_SQbu@192.168.1.12@26035,China.Commodities.Id107206.CA,"DLj_SQbu,DLj,SQbu",0.0
1293,DLj_SQbu@192.168.1.12@34136,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQbu,DLj,SQbu",0.005
1294,DLj_SQbu@192.168.1.17@25021,China.Commodities.Id107206.CB,"DLj_SQbu,DLj,SQbu",0.001
1295,DLj_SQbu@192.168.1.17@26018,China.Commodities.Id107206.MA,"DLj_SQbu,DLj,SQbu",0.0
1296,DLj_SQbu@192.168.1.17@27017,China.Commodities.Id107206.MB,"DLj_SQbu,DLj,SQbu",0.0
1297,DLj_SQbu@192.168.1.17@29026,China.Commodities.Id107206.PB,"DLj_SQbu,DLj,SQbu",0.0
1298,DLj_SQbu@192.168.1.17@30025,China.Commodities.Id107206.PA,"DLj_SQbu,DLj,SQbu",
1299,DLj_SQbu@192.168.1.18@24026,China.Cpa.929_80,"DLj_SQbu,DLj,SQbu",0.004
1300,DLj_SQbu@192.168.1.53@31016,China.Commodities.Id107204,"DLj_SQbu,DLj,SQbu",0.001
1301,DLj_SQhc@192.168.1.11@34206,Cn.Com.U16.CPA@CnCom.Id107229.B,"DLj_SQhc,DLj,SQhc",0.012
1302,DLj_SQhc@192.168.1.11@39608,Cn.Com.U21.CPA@CnCom.Id107215.T_B,"DLj_SQhc,DLj,SQhc",0.002
1303,DLj_SQhc@192.168.1.12@26036,China.Commodities.Id107206.CA,"DLj_SQhc,DLj,SQhc",0.001
1304,DLj_SQhc@192.168.1.14@25311,Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6All_L1N,"DLj_SQhc,DLj,SQhc",0.074
1305,DLj_SQhc@192.168.1.15@20106,Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnE2AllL1,"DLj_SQhc,DLj,SQhc",0.052
1306,DLj_SQhc@192.168.1.15@20203,Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnE2AllL1N,"DLj_SQhc,DLj,SQhc",0.051
1307,DLj_SQhc@192.168.1.15@62206,Cn.Com.60B.CPA@CnCom.Id807042.B,"DLj_SQhc,DLj,SQhc",0.005
1308,DLj_SQhc@192.168.1.15@63205,Cn.Com.60B.CPA@CnCom.Id807042.S2_B,"DLj_SQhc,DLj,SQhc",0.005
1309,DLj_SQhc@192.168.1.15@64419,Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComV4L1,"DLj_SQhc,DLj,SQhc",0.155
1310,DLj_SQhc@192.168.1.16@48009,Cn.Com.60B.CPA@CnCom.Id107001.7947B,"DLj_SQhc,DLj,SQhc",0.0
1311,DLj_SQhc@192.168.1.16@56005,Cn.Com.60B.CPA@CnCom.Id107218.B,"DLj_SQhc,DLj,SQhc",0.002
1312,DLj_SQhc@192.168.1.16@62206,Cn.Com.U16.CPA@CnCom.Id107203.D_B,"DLj_SQhc,DLj,SQhc",0.003
1313,DLj_SQhc@192.168.1.16@63705,Cn.Com.U16.CPA@CnCom.Id107233.D_B,"DLj_SQhc,DLj,SQhc",0.002
1314,DLj_SQhc@192.168.1.17@25022,China.Commodities.Id107206.CB,"DLj_SQhc,DLj,SQhc",0.001
1315,DLj_SQhc@192.168.1.17@26019,China.Commodities.Id107206.MA,"DLj_SQhc,DLj,SQhc",0.0
1316,DLj_SQhc@192.168.1.17@27018,China.Commodities.Id107206.MB,"DLj_SQhc,DLj,SQhc",0.0
1317,DLj_SQhc@192.168.1.17@29027,China.Commodities.Id107206.PB,"DLj_SQhc,DLj,SQhc",0.0
1318,DLj_SQhc@192.168.1.17@30026,China.Commodities.Id107206.PA,"DLj_SQhc,DLj,SQhc",
1319,DLj_SQhc@192.168.1.17@33003,Cn.Com.U17.CPA@CnCom.Id107207.BlackC,"DLj_SQhc,DLj,SQhc",0.001
1320,DLj_SQhc@192.168.1.17@51415,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BC,"DLj_SQhc,DLj,SQhc",0.001
1321,DLj_SQhc@192.168.1.17@51508,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BM,"DLj_SQhc,DLj,SQhc",0.0
1322,DLj_SQhc@192.168.1.17@51610,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BP,"DLj_SQhc,DLj,SQhc",0.001
1323,DLj_SQhc@192.168.1.18@24027,China.Cpa.929_80,"DLj_SQhc,DLj,SQhc",0.003
1324,DLj_SQhc@192.168.1.30@25212,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_B,"DLj_SQhc,DLj,SQhc",0.013
1325,DLj_SQhc@192.168.1.30@26212,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_B,"DLj_SQhc,DLj,SQhc",0.013
1326,DLj_SQhc@192.168.1.33@33206,Cn.Com.U24.CPA@CnCom.Id107215.PV_B,"DLj_SQhc,DLj,SQhc",0.0
1327,DLj_SQhc@192.168.1.51@24007,Cn.Com.U17.CPA@CnCom.Id107207.7946B,"DLj_SQhc,DLj,SQhc",0.0
1328,DLj_SQhc@192.168.1.51@28006,Cn.Com.60B.CPA@CnCom.Id107001.7929B,"DLj_SQhc,DLj,SQhc",0.003
1329,DLj_SQhc@192.168.1.51@35204,Cn.Com.U16.CPA@CnCom.Id107227.B,"DLj_SQhc,DLj,SQhc",0.007
1330,DLj_SQhc@192.168.1.53@20318,Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6_All_L1,"DLj_SQhc,DLj,SQhc",0.081
1331,DLj_SQhc@192.168.1.53@21304,Cn.All.60B.PairX(MFA)@CnCom.Id807044.All_V6_L1,"DLj_SQhc,DLj,SQhc",0.015
1332,DLj_SQhc@192.168.1.53@35205,Cn.All.60B.PairX(MFA)@Cn.Id807035.All_BN,"DLj_SQhc,DLj,SQhc",0.006
1333,DLj_SQhc@192.168.1.61@31014,Cn.All.60B.PairX(MFA)@CnCom.Id807045.V6E0_All_L1,"DLj_SQhc,DLj,SQhc",0.07
1334,DLj_SQni@192.168.1.12@34137,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQni,DLj,SQni",0.008
1335,DLj_SQpb@192.168.1.12@34138,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQpb,DLj,SQpb",0.004
1336,DLj_SQrb@192.168.1.11@34207,Cn.Com.U16.CPA@CnCom.Id107229.B,"DLj_SQrb,DLj,SQrb",0.002
1337,DLj_SQrb@192.168.1.11@39208,Cn.Com.U21.CPA@CnCom.Id107215.P_B,"DLj_SQrb,DLj,SQrb",0.002
1338,DLj_SQrb@192.168.1.11@39609,Cn.Com.U21.CPA@CnCom.Id107215.T_B,"DLj_SQrb,DLj,SQrb",0.002
1339,DLj_SQrb@192.168.1.12@26037,China.Commodities.Id107206.CA,"DLj_SQrb,DLj,SQrb",0.001
1340,DLj_SQrb@192.168.1.12@33608,Cn.Com.60B.CPA@CnCom.Id107216.D_B,"DLj_SQrb,DLj,SQrb",0.001
1341,DLj_SQrb@192.168.1.14@25312,Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6All_L1N,"DLj_SQrb,DLj,SQrb",0.072
1342,DLj_SQrb@192.168.1.15@20204,Cn.All.60B.PairX(MFA)@CnCom.Id807045.CnE2AllL1N,"DLj_SQrb,DLj,SQrb",0.046
1343,DLj_SQrb@192.168.1.15@62207,Cn.Com.60B.CPA@CnCom.Id807042.B,"DLj_SQrb,DLj,SQrb",0.005
1344,DLj_SQrb@192.168.1.15@63206,Cn.Com.60B.CPA@CnCom.Id807042.S2_B,"DLj_SQrb,DLj,SQrb",0.005
1345,DLj_SQrb@192.168.1.15@64420,Cn.All.60B.PairX(MFA)@Cn.Id807012.CnComV4L1,"DLj_SQrb,DLj,SQrb",0.144
1346,DLj_SQrb@192.168.1.16@43004,Cn.Com.U20.CPA@CnCom.Id107222.IEB,"DLj_SQrb,DLj,SQrb",0.001
1347,DLj_SQrb@192.168.1.16@48010,Cn.Com.60B.CPA@CnCom.Id107001.7947B,"DLj_SQrb,DLj,SQrb",0.0
1348,DLj_SQrb@192.168.1.16@56006,Cn.Com.60B.CPA@CnCom.Id107218.B,"DLj_SQrb,DLj,SQrb",0.002
1349,DLj_SQrb@192.168.1.16@60202,Cn.Com.U16.CPA@CnCom.Id107202.B,"DLj_SQrb,DLj,SQrb",0.001
1350,DLj_SQrb@192.168.1.16@63203,Cn.Com.U16.CPA@CnCom.Id107233.C_B,"DLj_SQrb,DLj,SQrb",0.001
1351,DLj_SQrb@192.168.1.16@64205,Cn.Com.U16.CPA@CnCom.Id107202.M_B,"DLj_SQrb,DLj,SQrb",0.001
1352,DLj_SQrb@192.168.1.17@25023,China.Commodities.Id107206.CB,"DLj_SQrb,DLj,SQrb",0.001
1353,DLj_SQrb@192.168.1.17@26020,China.Commodities.Id107206.MA,"DLj_SQrb,DLj,SQrb",0.0
1354,DLj_SQrb@192.168.1.17@27019,China.Commodities.Id107206.MB,"DLj_SQrb,DLj,SQrb",0.0
1355,DLj_SQrb@192.168.1.17@29028,China.Commodities.Id107206.PB,"DLj_SQrb,DLj,SQrb",0.0
1356,DLj_SQrb@192.168.1.17@30027,China.Commodities.Id107206.PA,"DLj_SQrb,DLj,SQrb",
1357,DLj_SQrb@192.168.1.17@51416,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BC,"DLj_SQrb,DLj,SQrb",0.001
1358,DLj_SQrb@192.168.1.17@51509,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BM,"DLj_SQrb,DLj,SQrb",0.0
1359,DLj_SQrb@192.168.1.17@51611,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BP,"DLj_SQrb,DLj,SQrb",0.001
1360,DLj_SQrb@192.168.1.17@55205,Cn.Com.U16.CPA@CnCom.Id107204.B,"DLj_SQrb,DLj,SQrb",0.001
1361,DLj_SQrb@192.168.1.18@24028,China.Cpa.929_80,"DLj_SQrb,DLj,SQrb",0.003
1362,DLj_SQrb@192.168.1.30@25213,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_B,"DLj_SQrb,DLj,SQrb",0.013
1363,DLj_SQrb@192.168.1.30@26213,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_B,"DLj_SQrb,DLj,SQrb",0.013
1364,DLj_SQrb@192.168.1.32@21203,Cn.Com.60B.CPA@CnCom.Id807040.B,"DLj_SQrb,DLj,SQrb",0.002
1365,DLj_SQrb@192.168.1.33@33207,Cn.Com.U24.CPA@CnCom.Id107215.PV_B,"DLj_SQrb,DLj,SQrb",0.0
1366,DLj_SQrb@192.168.1.51@24008,Cn.Com.U17.CPA@CnCom.Id107207.7946B,"DLj_SQrb,DLj,SQrb",0.0
1367,DLj_SQrb@192.168.1.51@28007,Cn.Com.60B.CPA@CnCom.Id107001.7929B,"DLj_SQrb,DLj,SQrb",0.003
1368,DLj_SQrb@192.168.1.51@32202,Cn.Com.60B.CPA@CnCom.Id107219.B,"DLj_SQrb,DLj,SQrb",0.006
1369,DLj_SQrb@192.168.1.53@20319,Cn.All.60B.PairX(MFA)@CnCom.Id807045.MFA_V6_All_L1,"DLj_SQrb,DLj,SQrb",0.086
1370,DLj_SQrb@192.168.1.61@31015,Cn.All.60B.PairX(MFA)@CnCom.Id807045.V6E0_All_L1,"DLj_SQrb,DLj,SQrb",0.071
1371,DLj_SQru@192.168.1.12@26038,China.Commodities.Id107206.CA,"DLj_SQru,DLj,SQru",0.0
1372,DLj_SQru@192.168.1.12@34139,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQru,DLj,SQru",0.008
1373,DLj_SQru@192.168.1.17@25024,China.Commodities.Id107206.CB,"DLj_SQru,DLj,SQru",0.0
1374,DLj_SQru@192.168.1.17@26021,China.Commodities.Id107206.MA,"DLj_SQru,DLj,SQru",0.0
1375,DLj_SQru@192.168.1.17@27020,China.Commodities.Id107206.MB,"DLj_SQru,DLj,SQru",0.0
1376,DLj_SQru@192.168.1.17@29029,China.Commodities.Id107206.PB,"DLj_SQru,DLj,SQru",0.0
1377,DLj_SQru@192.168.1.17@30028,China.Commodities.Id107206.PA,"DLj_SQru,DLj,SQru",
1378,DLj_SQru@192.168.1.18@24029,China.Cpa.929_80,"DLj_SQru,DLj,SQru",0.001
1379,DLj_SQru@192.168.1.53@28006,China.Commodities.Id107201,"DLj_SQru,DLj,SQru",0.001
1380,DLj_SQsn@192.168.1.12@34140,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQsn,DLj,SQsn",0.002
1381,DLj_SQzn@192.168.1.12@26039,China.Commodities.Id107206.CA,"DLj_SQzn,DLj,SQzn",0.0
1382,DLj_SQzn@192.168.1.12@34141,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_SQzn,DLj,SQzn",0.004
1383,DLj_SQzn@192.168.1.17@25025,China.Commodities.Id107206.CB,"DLj_SQzn,DLj,SQzn",0.0
1384,DLj_SQzn@192.168.1.17@27021,China.Commodities.Id107206.MB,"DLj_SQzn,DLj,SQzn",0.0
1385,DLj_SQzn@192.168.1.17@29030,China.Commodities.Id107206.PB,"DLj_SQzn,DLj,SQzn",0.0
1386,DLj_SQzn@192.168.1.17@30029,China.Commodities.Id107206.PA,"DLj_SQzn,DLj,SQzn",
1387,DLj_SQzn@192.168.1.18@24030,China.Cpa.929_80,"DLj_SQzn,DLj,SQzn",0.002
1388,DLj_ZZFG@192.168.1.12@26040,China.Commodities.Id107206.CA,"DLj_ZZFG,DLj,ZZFG",0.001
1389,DLj_ZZFG@192.168.1.12@34142,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_ZZFG,DLj,ZZFG",0.005
1390,DLj_ZZFG@192.168.1.17@25026,China.Commodities.Id107206.CB,"DLj_ZZFG,DLj,ZZFG",0.001
1391,DLj_ZZFG@192.168.1.17@26022,China.Commodities.Id107206.MA,"DLj_ZZFG,DLj,ZZFG",0.0
1392,DLj_ZZFG@192.168.1.17@27022,China.Commodities.Id107206.MB,"DLj_ZZFG,DLj,ZZFG",0.0
1393,DLj_ZZFG@192.168.1.17@29031,China.Commodities.Id107206.PB,"DLj_ZZFG,DLj,ZZFG",0.0
1394,DLj_ZZFG@192.168.1.17@30030,China.Commodities.Id107206.PA,"DLj_ZZFG,DLj,ZZFG",
1395,DLj_ZZFG@192.168.1.18@24031,China.Cpa.929_80,"DLj_ZZFG,DLj,ZZFG",0.003
1396,DLj_ZZFG@192.168.1.53@28007,China.Commodities.Id107201,"DLj_ZZFG,DLj,ZZFG",0.001
1397,DLj_ZZFG@192.168.1.53@30007,China.Commodities.Id107203,"DLj_ZZFG,DLj,ZZFG",0.0
1398,DLj_ZZFG@192.168.1.53@31017,China.Commodities.Id107204,"DLj_ZZFG,DLj,ZZFG",0.001
1399,DLj_ZZMA@192.168.1.12@26041,China.Commodities.Id107206.CA,"DLj_ZZMA,DLj,ZZMA",0.0
1400,DLj_ZZMA@192.168.1.12@34143,Cn.Com.60B.CPA@CnCom.Id807042.R,"DLj_ZZMA,DLj,ZZMA",0.006
1401,DLj_ZZMA@192.168.1.17@25027,China.Commodities.Id107206.CB,"DLj_ZZMA,DLj,ZZMA",0.0
1402,DLj_ZZMA@192.168.1.17@26023,China.Commodities.Id107206.MA,"DLj_ZZMA,DLj,ZZMA",0.0
1403,DLj_ZZMA@192.168.1.17@29032,China.Commodities.Id107206.PB,"DLj_ZZMA,DLj,ZZMA",0.0
1404,DLj_ZZMA@192.168.1.17@30031,China.Commodities.Id107206.PA,"DLj_ZZMA,DLj,ZZMA",
1405,DLj_ZZMA@192.168.1.18@24032,China.Cpa.929_80,"DLj_ZZMA,DLj,ZZMA",0.003
1406,DLj_ZZMA@192.168.1.53@30008,China.Commodities.Id107203,"DLj_ZZMA,DLj,ZZMA",0.001
1407,DLj_ZZMA@192.168.1.53@31018,China.Commodities.Id107204,"DLj_ZZMA,DLj,ZZMA",0.002
1408,DLj_ZZSF@192.168.1.11@34208,Cn.Com.U16.CPA@CnCom.Id107229.B,"DLj_ZZSF,DLj,ZZSF",0.008
1409,DLj_ZZSF@192.168.1.11@39610,Cn.Com.U21.CPA@CnCom.Id107215.T_B,"DLj_ZZSF,DLj,ZZSF",0.001
1410,DLj_ZZSF@192.168.1.15@62208,Cn.Com.60B.CPA@CnCom.Id807042.B,"DLj_ZZSF,DLj,ZZSF",0.007
1411,DLj_ZZSF@192.168.1.15@63207,Cn.Com.60B.CPA@CnCom.Id807042.S2_B,"DLj_ZZSF,DLj,ZZSF",0.007
1412,DLj_ZZSF@192.168.1.16@48011,Cn.Com.60B.CPA@CnCom.Id107001.7947B,"DLj_ZZSF,DLj,ZZSF",0.0
1413,DLj_ZZSF@192.168.1.16@61206,Cn.Com.U16.CPA@CnCom.Id107203.C_B,"DLj_ZZSF,DLj,ZZSF",0.003
1414,DLj_ZZSF@192.168.1.17@51417,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BC,"DLj_ZZSF,DLj,ZZSF",0.0
1415,DLj_ZZSF@192.168.1.17@51510,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BM,"DLj_ZZSF,DLj,ZZSF",0.0
1416,DLj_ZZSF@192.168.1.17@51612,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BP,"DLj_ZZSF,DLj,ZZSF",0.0
1417,DLj_ZZSF@192.168.1.30@25214,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T0_B,"DLj_ZZSF,DLj,ZZSF",0.011
1418,DLj_ZZSF@192.168.1.30@26214,Cn.All.60B.PairX(MFA)@Cn.Id807035.MFA_T1_B,"DLj_ZZSF,DLj,ZZSF",0.01
1419,DLj_ZZSF@192.168.1.51@16209,Cn.Com.U25.CPA@CnCom.Id107220.PMC_B,"DLj_ZZSF,DLj,ZZSF",0.0
1420,DLj_ZZSF@192.168.1.51@17204,Cn.Com.U22.CPA@CnCom.Id107215.BTX2,"DLj_ZZSF,DLj,ZZSF",0.002
1421,DLj_ZZSF@192.168.1.51@24009,Cn.Com.U17.CPA@CnCom.Id107207.7946B,"DLj_ZZSF,DLj,ZZSF",0.0
1422,DLj_ZZSF@192.168.1.51@28008,Cn.Com.60B.CPA@CnCom.Id107001.7929B,"DLj_ZZSF,DLj,ZZSF",0.008
1423,DLj_ZZSM@192.168.1.11@39209,Cn.Com.U21.CPA@CnCom.Id107215.P_B,"DLj_ZZSM,DLj,ZZSM",0.001
1424,DLj_ZZSM@192.168.1.16@60203,Cn.Com.U16.CPA@CnCom.Id107202.B,"DLj_ZZSM,DLj,ZZSM",0.002
1425,DLj_ZZSM@192.168.1.17@42006,Cn.Com.60B.CPA@CnCom.Id107217.B,"DLj_ZZSM,DLj,ZZSM",0.003
1426,DLj_ZZSM@192.168.1.17@51418,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BC,"DLj_ZZSM,DLj,ZZSM",0.0
1427,DLj_ZZSM@192.168.1.17@51511,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BM,"DLj_ZZSM,DLj,ZZSM",0.0
1428,DLj_ZZSM@192.168.1.17@51613,Cn.Com.U16.CPA@CnCom.Id107206.CAPM_BP,"DLj_ZZSM,DLj,ZZSM",0.0
