strategy,strategyId,trader
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQcu@192.168.1.29@20210
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQhc@192.168.1.29@20211
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQni@192.168.1.29@20212
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQrb@192.168.1.29@20213
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQru@192.168.1.29@20214
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,SQsn@192.168.1.29@20215
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZCF@192.168.1.29@20216
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZJR@192.168.1.29@20217
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZMA@192.168.1.29@20218
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZOI@192.168.1.29@20219
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZRS@192.168.1.29@20220
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZSM@192.168.1.29@20221
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZSR@192.168.1.29@20222
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZTA@192.168.1.29@20223
Cn.Com.60B.Pattern@CnCom.X.T2N,China.Commodities.Pattern.T2N,ZZTC@192.168.1.29@20224
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLa@192.168.1.29@20401
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLj@192.168.1.29@20402
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLjd@192.168.1.29@20403
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLjm@192.168.1.29@20404
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLl@192.168.1.29@20405
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLm@192.168.1.29@20406
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLp@192.168.1.29@20407
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLv@192.168.1.29@20408
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,DLy@192.168.1.29@20409
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQag@192.168.1.29@20410
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQal@192.168.1.29@20411
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQau2@192.168.1.29@20412
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQbu@192.168.1.29@20413
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQcu@192.168.1.29@20414
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQpb@192.168.1.29@20415
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQrb@192.168.1.29@20416
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQru@192.168.1.29@20417
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,SQzn@192.168.1.29@20418
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,ZZCF@192.168.1.29@20419
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,ZZMA@192.168.1.29@20420
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,ZZOI@192.168.1.29@20421
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,ZZRM@192.168.1.29@20422
Cn.Com.U16.Pattern@CnCom.Id002031.A,CnCom.Id002031.A,ZZSR@192.168.1.29@20423
Cn.Com.U16.Pattern@CnCom.Id007102.C,Cn.Com.U16.Pattern@CnCom.Id007102.C,DLpp@192.168.1.29@20601
Cn.Com.U16.Pattern@CnCom.Id007102.C,Cn.Com.U16.Pattern@CnCom.Id007102.C,DLv@192.168.1.29@20602
Cn.Com.U16.Pattern@CnCom.Id007102.C,Cn.Com.U16.Pattern@CnCom.Id007102.C,SQru@192.168.1.29@20603
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,DLm@192.168.1.29@20801
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,DLy@192.168.1.29@20802
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,ZZCF@192.168.1.29@20803
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_M,ZZOI@192.168.1.29@20804
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,DLm@192.168.1.29@21001
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,DLy@192.168.1.29@21002
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_A_P,ZZCF@192.168.1.29@21003
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_B_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_B_M,ZZTC@192.168.1.29@21201
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,DLv@192.168.1.29@21401
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,SQbu@192.168.1.29@21402
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_C,ZZMA@192.168.1.29@21403
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,DLl@192.168.1.29@21601
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,DLv@192.168.1.29@21602
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,SQbu@192.168.1.29@21603
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,SQru@192.168.1.29@21604
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_C_P,ZZTA@192.168.1.29@21605
Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_M_M,Cn.Com.U16.Pattern@CnCom.Id007103.CAPM_M_M,SQag@192.168.1.29@21801
Cn.Com.U16.Pattern@CnCom.Id007104.C_B,Cn.Com.U16.Pattern@CnCom.Id007104.C_B,SQhc@192.168.1.29@22001
Cn.Com.U16.Pattern@CnCom.Id007104.C_C,Cn.Com.U16.Pattern@CnCom.Id007104.C_C,SQru@192.168.1.29@22201
Cn.Com.U16.Pattern@CnCom.Id007104.C_C,Cn.Com.U16.Pattern@CnCom.Id007104.C_C,ZZFG@192.168.1.29@22202
Cn.Com.U16.Pattern@CnCom.Id007104.C_M,Cn.Com.U16.Pattern@CnCom.Id007104.C_M,SQau2@192.168.1.29@22401
Cn.Com.U16.Pattern@CnCom.Id007104.C_M,Cn.Com.U16.Pattern@CnCom.Id007104.C_M,SQhc@192.168.1.29@22402
Cn.Com.U16.Pattern@CnCom.Id007104.C_M,Cn.Com.U16.Pattern@CnCom.Id007104.C_M,SQni@192.168.1.29@22403
Cn.Com.U16.Pattern@CnCom.Id007104.C_M,Cn.Com.U16.Pattern@CnCom.Id007104.C_M,SQsn@192.168.1.29@22404
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,DLl@192.168.1.29@22601
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,DLpp@192.168.1.29@22602
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,SQbu@192.168.1.29@22603
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,SQru@192.168.1.29@22604
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,ZZFG@192.168.1.29@22605
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,ZZMA@192.168.1.29@22606
Cn.Com.U16.Pattern@CnCom.Id007112.M_C,Cn.Com.U16.Pattern@CnCom.Id007112.M_C,ZZTA@192.168.1.29@22607
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,DLcs@192.168.1.29@22801
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,DLjd@192.168.1.29@22802
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,DLp@192.168.1.29@22803
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,DLy@192.168.1.29@22804
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,ZZCF@192.168.1.29@22805
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,ZZOI@192.168.1.29@22806
Cn.Com.U16.Pattern@CnCom.Id007122.A,Cn.Com.U16.Pattern@CnCom.Id007122.A,ZZSR@192.168.1.29@22807
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQag@192.168.1.29@23001
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQal@192.168.1.29@23002
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQcu@192.168.1.29@23003
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQhc@192.168.1.29@23004
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQni@192.168.1.29@23005
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQpb@192.168.1.29@23006
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQrb@192.168.1.29@23007
Cn.Com.U16.Pattern@CnCom.Id007122.M,Cn.Com.U16.Pattern@CnCom.Id007122.M,SQzn@192.168.1.29@23008
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,DLjm@192.168.1.29@23201
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,DLj@192.168.1.29@23202
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,SQhc@192.168.1.29@23203
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,SQrb@192.168.1.29@23204
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,ZZSM@192.168.1.29@23205
Cn.Com.U16.Pattern@CnCom.Id007123.B,Cn.Com.U16.Pattern@CnCom.Id007123.B,ZZTC@192.168.1.29@23206
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,DLl@192.168.1.29@23401
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,DLpp@192.168.1.29@23402
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,SQbu@192.168.1.29@23403
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,SQru@192.168.1.29@23404
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,ZZMA@192.168.1.29@23405
Cn.Com.U16.Pattern@CnCom.Id007123.M_C,Cn.Com.U16.Pattern@CnCom.Id007123.M_C,ZZTA@192.168.1.29@23406
Cn.Com.U16.Pattern@CnCom.Id007124.C,Cn.Com.U16.Pattern@CnCom.Id007124.C,DLpp@192.168.1.29@23601
Cn.Com.U16.Pattern@CnCom.Id007124.C,Cn.Com.U16.Pattern@CnCom.Id007124.C,SQru@192.168.1.29@23602
Cn.Com.U16.Pattern@CnCom.Id007124.C,Cn.Com.U16.Pattern@CnCom.Id007124.C,ZZMA@192.168.1.29@23603
Cn.Com.U16.Pattern@CnCom.Id007124.M,Cn.Com.U16.Pattern@CnCom.Id007124.M,SQal@192.168.1.29@23801
Cn.Com.U16.Pattern@CnCom.Id007124.M,Cn.Com.U16.Pattern@CnCom.Id007124.M,SQcu@192.168.1.29@23802
Cn.Com.U16.Pattern@CnCom.Id007124.M,Cn.Com.U16.Pattern@CnCom.Id007124.M,SQni@192.168.1.29@23803
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLa@192.168.1.29@24001
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLc@192.168.1.29@24002
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLl@192.168.1.29@24003
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLm@192.168.1.29@24004
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLp@192.168.1.29@24005
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,DLy@192.168.1.29@24006
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQal@192.168.1.29@24007
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQau2@192.168.1.29@24008
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQcu@192.168.1.29@24009
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQrb@192.168.1.29@24010
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQru@192.168.1.29@24011
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,SQzn@192.168.1.29@24012
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,ZZCF@192.168.1.29@24013
Cn.Com.U18.Pattern@CnCom.Id002033.02,Cn.Com.U18.Pattern@CnCom.Id002033.02,ZZSR@192.168.1.29@24014
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,DLa@192.168.1.29@24201
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,DLl@192.168.1.29@24202
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,DLm@192.168.1.29@24203
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,DLp@192.168.1.29@24204
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,DLv@192.168.1.29@24205
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,SQal@192.168.1.29@24206
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,SQau2@192.168.1.29@24207
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,SQcu@192.168.1.29@24208
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,SQrb@192.168.1.29@24209
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,SQru@192.168.1.29@24210
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,ZZCF@192.168.1.29@24211
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,ZZSR@192.168.1.29@24212
Cn.Com.U18.Pattern@CnCom.Id002033.06,Cn.Com.U18.Pattern@CnCom.Id002033.06,ZZTA@192.168.1.29@24213
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,DLa@192.168.1.29@24401
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,DLl@192.168.1.29@24402
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,DLm@192.168.1.29@24403
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,DLp@192.168.1.29@24404
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,SQal@192.168.1.29@24405
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,SQau2@192.168.1.29@24406
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,SQcu@192.168.1.29@24407
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,SQrb@192.168.1.29@24408
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,ZZCF@192.168.1.29@24409
Cn.Com.U18.Pattern@CnCom.Id002033.07,Cn.Com.U18.Pattern@CnCom.Id002033.07,ZZSR@192.168.1.29@24410
Cn.Com.U18.Pattern@CnCom.Id002033.08,Cn.Com.U18.Pattern@CnCom.Id002033.08,DLm@192.168.1.29@24601
Cn.Com.U18.Pattern@CnCom.Id002033.08,Cn.Com.U18.Pattern@CnCom.Id002033.08,SQal@192.168.1.29@24602
Cn.Com.U18.Pattern@CnCom.Id002033.08,Cn.Com.U18.Pattern@CnCom.Id002033.08,SQrb@192.168.1.29@24603
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,DLa@192.168.1.29@24801
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,DLc@192.168.1.29@24802
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,DLm@192.168.1.29@24803
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,SQal@192.168.1.29@24804
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,SQcu@192.168.1.29@24805
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,SQrb@192.168.1.29@24806
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,SQzn@192.168.1.29@24807
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,ZZSR@192.168.1.29@24808
Cn.Com.U18.Pattern@CnCom.Id002033.09,Cn.Com.U18.Pattern@CnCom.Id002033.09,ZZTA@192.168.1.29@24809
Cn.Com.U18.Pattern@CnCom.Id002033.16,Cn.Com.U18.Pattern@CnCom.Id002033.16,SQcu@192.168.1.29@25001
Cn.Com.U18.Pattern@CnCom.Id002033.16,Cn.Com.U18.Pattern@CnCom.Id002033.16,SQru@192.168.1.29@25002
Cn.Com.U18.Pattern@CnCom.Id002033.16,Cn.Com.U18.Pattern@CnCom.Id002033.16,SQzn@192.168.1.29@25003
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,DLp@192.168.1.29@25201
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,SQal@192.168.1.29@25202
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,SQcu@192.168.1.29@25203
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,SQrb@192.168.1.29@25204
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,SQru@192.168.1.29@25205
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,SQzn@192.168.1.29@25206
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,ZZCF@192.168.1.29@25207
Cn.Com.U18.Pattern@CnCom.Id002033.18,Cn.Com.U18.Pattern@CnCom.Id002033.18,ZZSR@192.168.1.29@25208
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,DLp@192.168.1.29@25401
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,SQcu@192.168.1.29@25402
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,SQru@192.168.1.29@25403
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,SQzn@192.168.1.29@25404
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,ZZCF@192.168.1.29@25405
Cn.Com.U18.Pattern@CnCom.Id002033.20,Cn.Com.U18.Pattern@CnCom.Id002033.20,ZZSR@192.168.1.29@25406
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,DLa@192.168.1.29@25601
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,DLl@192.168.1.29@25602
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,DLm@192.168.1.29@25603
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,DLp@192.168.1.29@25604
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,DLy@192.168.1.29@25605
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,SQal@192.168.1.29@25606
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,SQau2@192.168.1.29@25607
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,SQrb@192.168.1.29@25608
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,SQru@192.168.1.29@25609
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,SQzn@192.168.1.29@25610
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,ZZCF@192.168.1.29@25611
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,ZZSR@192.168.1.29@25612
Cn.Com.U18.Pattern@CnCom.Id002033.30,Cn.Com.U18.Pattern@CnCom.Id002033.30,ZZTA@192.168.1.29@25613
